f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255,f256,f257,f258,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274,f275,f276,f277,f278,f279,f280,f281,f282,f283,f284,f285,f286,f287,f288,f289,f290,f291,f292,f293,f294,f295,f296,f297,f298,f299,f300,f301,f302,f303,f304,f305,f306,f307,f308,f309,Age,Sex,Class
0.09,0.04,0,0,0,2.46,0,47.02,1366.43,-7.1,-2.69,-0.04,2.85,0.04,9.12,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.07,11.57,0.08,0,0.08,0.09,0,0.08,0.1,0,0.08,0.06,1.01,0.02,0.08,0.1,-0.13,-0.06,0,0.07,0.36,13,1.26,0.05,0.01,1,27.28,0,0.53,0.66,0,0.95,0.1,0.17,1615286.42,1.68,3.05,0.01,0.01,14.37,11.64,11.14,535.94,1.19,5.73,1.39,2.05,0.42,2.62,0.17,7.17,0.17,6.42,7.67,6.89,-0.62,-0.24,-0.23,-1.43,-1.08,2.17,1.07,-0.84,-0.63,-0.05,-0.26,0,-0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.07,2.86,9.12,88200,99.99,0,0,0,0,0,0,0,0,0,0.01,0.28,-68.08,-105.42,-1209.73,-978.18,-6262.17,-16321.28,-5389.82,-18206.62,-138456.21,-8901.8,-2297.16,-538.93,-82.77,12.37,38.29,46.3,20.85,30.7,38.61,0,0.13,0.34,4.31,8.39,66.04,236.87,57.6,533.86,1794.71,0,1.52,2.19,16.21,19.79,101.35,322.7,147.04,1021.09,4162.83,-1025306332,-1103548370,-1200440205,-1336478531,-1554411208,-1943669956,-2648731752,-4050381627,-6900004627,-12759718991,11479.32,6179.22,3362.47,1873.35,1091.02,683.56,466.55,357.34,304.82,282.03,167.37,662.51,2607.65,9852.4,35514.97,118888.67,365490.18,998596.97,2447613.11,5519108.25,3777.12,10577.28,29577.73,81902.92,219402.63,566730.5,1377764.02,3197755.23,7029560.67,14913765.65,100,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.05,0.05,0.16,0.28,0.11,0.26,0.68,-14450.75,-4866.81,-1952.28,-778.3,-342.08,-204.37,-124.87,-128.14,-97.11,-57.61,0,0,0,0,0,0,0.01,0,0.01,0.04,0,0,0,0,0,0,0.01,0,0.02,0.1,-233661.12,-277726.27,-327634.17,-390417.42,-481323.91,-633245.64,-901856.9,-1433921.42,-2528415.99,-4819157.28,4076.86,2422.97,1429.32,851.75,525.18,345.61,246.18,195.78,172.65,164.56,0.11,0.44,1.73,6.54,23.61,79.05,242.54,661.68,1618.32,3643.23,2.53,7.09,19.75,54.34,145.53,375.1,921.3,2137.08,4697.13,9931.21,68,1,1
0.16,0.06,0,0,0,2.59,0,93.56,2582.92,-23.28,-7.53,-0.35,7.46,0.04,11.57,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.05,7.2,0.05,0,0.06,0.05,0,0.06,0.07,0,0.06,0.06,0.62,0.01,0.06,0.09,-0.13,-0.03,0,0.04,0.46,14.45,4.93,0.07,0.09,0.99,25.89,0.43,0.46,0.51,0,1.18,0.22,0.13,1427756.84,1.61,3.05,0.03,0.01,48.46,12.88,12.76,554.58,1.17,6.41,1.4,0.02,0,0.24,0.04,10.05,0.07,9.62,13.55,5.85,-4.93,-2.56,-1.1,-2.58,-1.29,2.21,0.73,-1.18,-0.92,-0.33,0.3,0,-0.03,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.8,3.43,11.57,88200,100,0,0,0,0,0,0,0,0,0,0,1.21,-17.27,-84.05,-838.1,-3756.18,-27397.07,-26150.75,-18949.23,-2613.87,-1599.85,-6456.51,-1694.31,-527.83,-72.97,56.6,79.27,52.15,15.86,16.73,19.71,0,0.03,0.32,3.38,23.67,174.46,296.2,414.73,43.87,35.11,0.03,0.37,2.11,11.54,49.86,309.62,513.9,615.84,107.8,92.82,-1919339786,-2060602115,-2236982844,-2486892423,-2890723167,-3615193798,-4922617171,-7524076384,-12811446429,-23670125585,12061.01,6474.52,3514.57,1953.84,1135.71,710.35,484.04,370.2,315.36,291.4,320.81,1263.46,4931.21,18647.75,67223.88,224656.59,687277.79,1873104.82,4577238.56,10292139.95,7176.32,20179.49,56054.21,154430.42,416661.94,1067028.68,2621344.37,6083057.08,13368062.4,28279582.73,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.08,0.31,0.26,0.14,0.04,0.03,-12176.15,-4642.22,-1972.08,-907.85,-327.51,-213.96,-162.13,-74.11,-84.82,-70.53,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0.01,0.01,0,0,-266292.23,-315357.35,-371033.99,-441256.81,-543227.88,-713976.63,-1015829.55,-1613895.82,-2843879.52,-5416842.35,4182.7,2476.7,1457,866.39,533.31,350.49,249.37,198.12,174.57,166.26,0.13,0.5,1.94,7.34,26.52,88.78,272.22,742.34,1814.49,4082.14,2.84,7.98,22.2,60.99,163.56,421.01,1036.09,2404.07,5284.08,11165.1,68,1,0
0.55,0.64,0.01,0,0.01,12.69,0,52.99,466.68,-45.31,-5.18,-0.36,4.55,0.47,39.08,0,0.56,0.01,0,0,0,0,0,0,0,0,0,0,0.47,0.01,0.19,34.45,0.23,0,0.26,0.28,0,0.26,0.32,0,0.26,0.15,3.21,0.18,0.19,0.24,-0.38,-0.11,0.01,0.19,0.72,-2.39,1.71,1.86,0.66,0.86,109.18,19.72,0.77,0.52,0.31,0.71,0.11,0.15,1174802.94,1.67,3.02,0,0.01,3.89,0.29,0.29,9.01,0.96,5.01,1.17,0.11,0.01,0.38,0.04,8.29,0.07,8.6,16.2,3.74,-5.42,-0.91,-1.3,-0.86,-1.92,0.71,0.45,-0.55,-0.96,1.29,0.53,0,0.01,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105,15.7,39.08,88200,99.68,0,0,0.01,0.01,0.01,0.01,0.05,0.03,0.07,0.13,-1331.09,-919.82,-15005.65,-55855.69,-70716,-85529.25,-91938.43,-159266.74,-253728.5,-606389.04,-4585.92,-1171.1,-127.04,166.02,150.15,125.05,70.39,58.43,61.08,62.25,1.43,3.34,23.84,107.09,245.9,308.34,2231.31,2207.81,3875.4,4026.79,17.99,44.73,202.89,414.51,576.7,859.06,6300.66,4761.14,8408.55,18595.68,-150185553.2,-163137077.3,-178727641.4,-199910679,-233312111.7,-292187451.9,-397896703,-609818569.2,-1042628710,-1933543442,9644.97,5248.63,2883.79,1620.67,951.36,600.36,412.49,317.86,272.64,253.49,53.75,205.97,722.73,2352,7943.91,23326.8,67225.24,181652.74,435429.45,935967.77,1346.95,3850.91,9549.45,21117.28,54428.04,145221.4,272075.54,604650.37,1328657.15,2827390.38,99.99,0,0,0,0,0,0,0,0,0,0.01,0.14,0.19,0.88,2.57,3.21,2.87,1.79,0.79,1.02,-6.34,-9136.57,-3445.81,-1303.62,-426.39,-225.39,-163.92,-51.05,-57.58,-21.27,-9.26,0,0,0,0.01,0.03,0.04,0.23,0.25,0.4,0.46,0,0,0.01,0.03,0.07,0.08,0.47,0.47,0.85,2.34,-146466.69,-176648.53,-210656.53,-253144.29,-314304.47,-416010.05,-595692.63,-952031.23,-1686351.17,-3224775.44,3699.83,2231.7,1330.93,799.81,496.48,328.52,235.08,187.68,166.05,158.71,0.08,0.32,1.23,4.62,16.65,55.48,169.27,461.25,1125.19,2523.35,1.81,5.08,14.14,38.64,103.47,264.65,649.66,1507.38,3315.8,6974.6,68,1,0
0.03,0.03,0,0,0,0.75,0,13.98,417.22,-1.21,-0.5,0,0.53,0.02,2.86,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0.08,11.37,0.08,0,0.05,0.07,0,0.05,0.09,0,0.05,0.06,1.01,0.02,0.12,0.14,-0.21,-0.1,0.01,0.1,0.42,16.22,2.82,0.03,0.02,0.76,17.93,9.91,0.59,0.66,0,0.78,0.08,0.12,2034891.82,1.63,2.98,0,0,1.92,405.87,370.79,28668.19,1.34,5.88,1.52,0.85,0.15,1.56,0.13,9.92,0.13,6.3,4.03,8.47,1.63,-0.37,-0.95,-1.35,-0.5,0.07,0.71,0.86,0.68,0.13,-0.16,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.7,0.92,2.86,88201,100,0,0,0,0,0,0,0,0,0,0,0.7,1.09,2.35,-1.74,-5.54,-311.41,-1047.21,-1543.36,-1324.59,-9975.09,-9647.68,-3049.68,-985.3,-253.89,-62.87,-8.31,21.46,12.86,7.7,11.15,0,0.01,0.01,0.22,0.56,3.24,8.73,27.32,44.12,95.58,0.01,0.07,0.06,0.63,0.93,7.27,17.2,46.5,54.51,389.96,-269650327.7,-292367384.8,-320267996.8,-359091884.7,-420857419,-530743273.8,-729493348.4,-1124949824,-1930356232,-3589798707,10248.81,5555.03,3041.44,1703.9,997.34,627.78,430.3,330.86,283.22,262.87,51.68,204.11,796.75,3011.78,10864.18,36366.79,111476.77,304159.17,744064.2,1675982.82,1161.98,3258.5,9079.05,25018.66,66942.75,172616.82,422183.28,979765.94,2153864.18,4564012.25,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.02,0.06,0.13,0.14,0.11,0.3,-14418.23,-5403.75,-2264.96,-916.4,-439.81,-217.28,-92.34,-82.07,-87.11,-55.27,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,-172388.93,-206828.82,-245721.16,-294456.68,-364751.6,-481920.57,-688932.05,-1099064.33,-1943450.52,-3712617.44,3832.79,2299.16,1365.64,818.13,506.6,334.55,238.99,190.52,168.37,160.76,0.09,0.35,1.37,5.17,18.66,62.48,191.6,522.59,1277.68,2875.46,2,5.61,15.63,42.94,115.01,296.32,728.28,1689.59,3713.82,7851.14,68,0,1
0.08,0.04,0,0,0,1.27,0,56.37,1608.32,-3.49,-1.44,0.02,1.44,0.15,5.22,0,0.04,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0.03,4.75,0.03,0,0.03,0.03,0,0.03,0.04,0,0.03,0.03,0.41,0,0.03,0.05,-0.06,-0.02,0,0.03,0.32,21.14,1.73,0.01,0,1,2.67,0,0.28,0.55,0,1.33,0.09,0.19,1744261.22,1.73,2.96,0.01,0,12.65,1.36,1.36,172.61,1.13,6.08,1.38,0.2,0.03,0.64,0.07,10.38,0.09,8.25,10.6,7.84,-2.33,-1.29,-0.34,-1.26,-2.4,-1.02,0.66,1.26,-0.22,-0.76,-0.84,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71.59,2.03,5.22,88201,99.99,0,0,0,0,0,0,0,0,0,0,-10191.15,-10609.32,-12461.34,-13866.39,-679.73,-777.52,-3207.17,-3888.54,-22093.3,-50716.32,-10375.25,-2919.22,-702.85,-153.89,-34.85,4.45,38.27,27.1,26.75,15.36,1.46,3.87,12.8,29.81,9.37,10.82,32.96,116.49,393.94,537.75,34.38,57.05,118.85,146.08,28.92,21.74,88.78,131.25,531.7,1647.1,-860516908.3,-927064416.4,-1009397273,-1124987452,-1310172527,-1640810808,-2240467601,-3432578888,-5857057592,-10841472058,11317.34,6097.09,3320.25,1851.1,1078.74,676.27,461.83,353.91,302.04,279.57,147.51,559.17,2243.55,8393.24,30216.31,101186.42,310762.17,848834.75,2079755.49,4691803.17,3403.69,9585.17,25347.3,70106,186474.19,480734.63,1174022.73,2721653,5985848.01,12666960.14,100,0,0,0,0,0,0,0,0,0,0,0.11,0.12,0.13,0.18,0.04,0.04,0.11,0.11,0.3,0.33,-16010.78,-5676.67,-2108.57,-868.89,-467.64,-236.68,-98.68,-91.49,-84.06,-76.7,0,0,0,0,0,0,0,0,0.01,0.02,0,0,0,0,0,0,0,0,0.01,0.05,-224995.53,-267723.69,-316096.22,-376918.06,-464937.37,-611967.56,-871942.17,-1386881.79,-2446265.3,-4663582.7,4046.37,2407.5,1421.36,847.54,522.86,344.22,245.28,195.12,172.11,164.08,0.11,0.43,1.68,6.34,22.89,76.64,235.1,641.38,1568.5,3530.88,2.45,6.9,19.12,52.72,141.11,363.51,893.25,2071.63,4554.2,9623.57,68,0,0
0.22,0.12,0,0,0,2.79,0,51.82,1113.74,-36.57,-10.85,0.03,10.71,0.09,14.75,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0.08,17.87,0.12,0,0.13,0.14,0,0.13,0.16,0,0.13,0.06,1.47,0.07,0.06,0.1,-0.12,-0.04,-0.01,0.04,0.55,13.25,3.51,0.06,0.05,1,6.16,0,0.63,0.55,0.01,0.85,0.1,0.13,1920718.61,1.62,3.07,0,0,2.93,2.86,2.85,28.79,1.19,6.01,1.33,0.19,0.02,0.53,0.06,7.12,0.09,8.26,12.31,7.53,-4.15,-1.85,-0.64,-0.56,-1.1,-0.93,0.58,1.05,-0.41,0.23,-0.74,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.93,4.2,14.75,88201,99.99,0,0,0,0,0,0,0,0,0,0.01,-1.76,-13.36,-256.34,-2003.18,-508.02,-1417.52,-6655,-24772.65,-117579.04,-205439.19,-7925.96,-1992.98,-209.41,23.1,-9.22,35.53,34.69,35.64,36.71,44.37,0.01,0.04,0.5,3.31,4.5,13.74,83.05,118.22,946.12,1160.04,0.2,0.33,1.1,9.76,14.74,23.81,142.99,570.17,2478.39,4195.17,-753605086.4,-814223060,-890848066.7,-1001055429,-1181649326,-1509326766,-2115244284,-3326216567,-5796536784,-10881814791,11193.74,6035.33,3289.42,1835.71,1071.08,672.48,460.06,353.15,301.77,279.55,135.67,539.4,2101.1,7920.44,28588.34,95869.89,294511.43,804182.97,1970313.71,4454562.22,3054.18,8658.32,24313.2,66500.75,178256.55,459573.85,1125559.73,2597475.36,5709497.63,12072388.23,100,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.13,0.04,0.09,0.21,0.36,0.92,1.06,-13137.78,-4826.26,-1611.49,-789.66,-394.25,-235.36,-111.51,-100.86,-57.13,-29.08,0,0,0,0,0,0,0,0,0.03,0.03,0,0,0,0,0,0,0,0.02,0.07,0.13,-218515.24,-260355.77,-307855.74,-367828.77,-455062.11,-601437.33,-861564.96,-1377800.88,-2441018.4,-4667479.38,4022.78,2395.72,1415.49,844.62,521.41,343.51,244.96,194.98,172.08,164.09,0.11,0.43,1.66,6.26,22.61,75.71,232.26,633.6,1549.55,3489.18,2.42,6.8,18.94,52.04,139.47,359.22,882.76,2044.99,4496.78,9504.45,68,0,0
0.03,0.02,0,0,0,0.91,0,17.92,539.93,-1.42,-0.57,-0.01,0.6,0.03,4.01,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.06,11.2,0.07,0,0.06,0.07,0,0.06,0.09,0,0.06,0.05,0.98,0.02,0.05,0.07,-0.09,-0.05,0,0.05,0.29,17.2,2.1,0.02,0.01,0.97,33.37,1.32,0.49,0.65,0,0.94,0.21,0.11,2122237.58,1.57,3.06,0,0,2.77,88.32,77.79,5035.72,1.29,5.94,1.46,1.05,0.32,1.65,0.14,9.48,0.15,5.51,2.86,8.95,-0.6,-0.47,-0.36,-1.67,-0.49,0.69,0.77,0.6,0.25,-0.54,-0.38,0,-0.01,-0.01,0.01,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.04,1.16,4.01,88200,100,0,0,0,0,0,0,0,0,0,0,0.24,-0.09,3.83,-619.99,-136.45,-78.61,-1783.33,-5509.05,-2692.94,-2346.64,-9817.32,-2951.59,-939.42,-207.71,-39.04,4.7,27.45,26.77,20.12,29.38,0,0.01,0.02,2.21,1.39,2.51,30.18,64.31,43.3,68.36,0,0.16,0.11,9.6,4.93,4.84,34.82,202.08,122.84,144.61,-384051072.8,-415256602.1,-453402768.2,-506156017.9,-589626856.2,-737393804.3,-1002900766,-1530209222,-2602804096,-4808924836,10573.5,5719.41,3125.67,1748.05,1021.46,641.88,439.23,337.21,288.28,267.29,70.71,277.96,1065.63,4045.96,14647.96,49010.05,150075.48,409488.51,1001795.38,2254616.31,1593.6,4455.22,12369.4,33612.32,90308.49,232377.2,570081.27,1324757.33,2911810.39,6141408.7,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.03,0.02,0.15,0.23,0.14,0.15,-14751.24,-5436.18,-2283.48,-825.82,-441,-181.62,-129.04,-80.66,-68.14,-58.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,-187547.01,-224374.72,-265953.11,-318025.61,-393076.63,-518047.76,-738496.36,-1174953.41,-2073057.58,-3953650.88,3900.12,2333.25,1383.11,827.29,511.6,337.47,240.85,191.84,169.42,161.67,0.1,0.37,1.45,5.5,19.86,66.47,203.81,555.93,1359.16,3058.31,2.14,5.99,16.66,45.66,122.42,315.21,775.27,1799.19,3954.81,8351.6,67,0,1
0.09,0.04,0,0,0,3.28,0,19,663.97,-2.6,-1.03,0.02,1.13,0.18,11.83,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0.04,8.9,0.06,0,0.07,0.07,0,0.07,0.08,0,0.07,0.12,0.79,0.02,0.04,0.07,-0.09,-0.02,0,0.02,0.87,22.32,4.34,0.02,0.05,1,14.21,0,0.53,0.54,0.01,1.82,0.48,0.14,1547322.78,1.64,3.05,0.01,0,20.24,41.85,39.27,695.33,1.28,6.11,1.41,0.22,0.06,0.66,0.11,15.57,0.14,7.51,7.78,7.75,-3.13,0.03,-1.21,-3.02,-1.33,0.21,0.73,0.44,0.06,-0.32,-1.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.14,6.76,11.83,150748,99.8,0,0,0,0,0,0,0.01,0.01,0.11,0.06,1.02,-55.09,-34.5,-1558.87,-235.5,-27173.13,-264158.33,-361646.56,-5677667.06,-1678087.41,-16241.73,-4892.47,-1497.57,-459.48,-51.84,59.11,91.48,67.74,72.82,77.47,0,0.07,0.1,1.99,2.41,91.82,1170.86,2333.54,42636.22,18080.03,0.07,0.91,0.74,10.25,5.2,273.6,4363.69,5237.36,101856.91,30266.93,-1810877606,-1930308186,-2062368982,-2217124039,-2427761995,-2749646344,-3275548230,-4331161865,-6271002350,-10563941013,19614.18,10483.56,5634.27,3061.07,1712.33,1006.42,632.73,449.42,350.19,311.76,63.55,255.61,1028.21,4075.42,15658.5,56575.87,189602.82,561338.32,1533990.77,3613556.25,1861.73,5208.65,14887.28,41071.68,117979.5,327341.54,776365.11,2332809.88,4435076.77,11974644.55,99.99,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.07,0.04,0.46,1.45,1.47,-28.92,0.22,-25434.01,-9421.39,-3901.21,-1736.37,-714.57,-250.21,-88.98,-80.16,-42.47,-28.42,0,0,0,0,0,0,0.03,0.06,1.21,0.49,0,0,0,0,0,0.01,0.13,0.15,2.95,0.83,-401053.3,-473075.31,-550644.83,-638759.71,-753771.83,-924754.37,-1202796.85,-1754089.2,-2795291.52,-5086192.83,6957.01,4105.86,2392.87,1391.27,824.86,510.12,335.52,248.14,200.39,184.07,0.06,0.24,0.95,3.69,13.83,49.32,163.82,480.8,1290.97,3017.59,1.78,5,14.06,39,107.36,285.23,722.96,1797.96,4024.02,8956.81,67,0,0
0.15,0.08,0,0,0,1.32,0,35.99,899.31,-14.57,-6.01,-0.43,5.55,0.06,5.57,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.08,19.24,0.13,0,0.15,0.17,0,0.15,0.18,0,0.15,0.11,1.56,0.08,0.06,0.11,-0.12,-0.03,0,0.03,0.65,11.64,2.07,0.08,0.03,1,3.5,0,0.61,0.58,0,1.21,0.2,0.13,1515086.6,1.65,2.94,0,0,2.24,8.21,8.1,124.07,1.16,5.77,1.34,0.22,0.05,0.7,0.07,7.91,0.1,5.07,2.98,7.6,-2.98,-1.63,-0.73,-0.59,-0.78,0.82,0.95,-0.03,0.76,-0.39,-0.42,-0.01,-0.01,-0.01,0,0,0,0,0,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.68,1.74,5.57,88200,99.99,0,0,0,0,0,0,0,0,0,0.01,0.32,-291.7,-292.87,-1024.71,-3335.5,-7379.45,-18548.89,-22618.26,-70577.94,-258751.86,-7691.98,-2184.92,-331.46,43.78,21.98,9.2,44.41,30.77,24.17,24.93,0,0.38,0.64,4.8,12.79,46.21,130.5,199.95,778.49,1793.04,0.03,4.94,6.05,11.62,64.12,148.91,412.6,598.16,2043.73,7059.01,-683379981.9,-737024030.2,-803269525.6,-895970679.2,-1044189438,-1308583920,-1788086630,-2741963958,-4683177602,-8679124009,11104.41,5989.01,3264.62,1821.67,1062.42,666.52,455.47,349.25,298.23,276.19,114.18,453.66,1767.38,6677.76,24141.72,80979.46,248677.92,680234.21,1667826.58,3765195.42,2597.92,7240.35,20311.92,55686.65,149430.79,386118.1,930135.76,2165251.62,4776592.54,10144185.49,100,0,0,0,0,0,0,0,0,0,0,0,0.02,0.03,0.1,0.13,0.18,0.41,0.32,0.47,0.44,-12889.66,-4857,-1667.59,-720.57,-424.3,-197.56,-99.82,-93.08,-90.29,-47.23,0,0,0,0,0,0,0,0.01,0.03,0.06,0,0,0,0,0,0.01,0.01,0.02,0.07,0.24,-213885.94,-254887.02,-301281.03,-359568.25,-443863.49,-584615.3,-833498.64,-1326548.08,-2341137.73,-4465533.38,4005.59,2386.81,1410.71,841.92,519.74,342.37,244.08,194.24,171.4,163.45,0.1,0.41,1.6,6.07,21.91,73.4,225.2,614.56,1503.36,3385.14,2.35,6.59,18.36,50.42,135.16,348.31,853.67,1981.33,4357.93,9219.16,67,0,0
0.06,0.03,0,0,0,1.16,0,47.31,1392.04,-4.92,-1.86,-0.06,2,0.04,4.62,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0.03,6.5,0.04,0,0.04,0.05,0,0.04,0.06,0,0.04,0.03,0.55,0.01,0.03,0.05,-0.05,-0.03,0,0.02,0.28,19.38,1.34,0.01,0,1,4.87,0,0.27,0.56,0,1.19,0.15,0.09,1769318.65,1.55,2.99,0.02,0.01,28.18,41.91,39.05,1638.08,1.26,6.06,1.41,0.17,0.04,0.66,0.09,13.8,0.11,5.8,3.98,6.78,-1.37,0.2,-2.37,-2.19,0.12,1.18,0.05,0.79,-0.38,-0.72,-0.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.19,1.43,4.62,88200,100,0,0,0,0,0,0,0,0,0,0,-2.8,-269.53,-88.19,-287.03,-667.48,-1254.81,-10302.06,-6801.92,-4985.07,-47767.32,-8665.99,-2684.56,-647.38,-167.91,-23.02,-0.91,35.86,18.58,12.47,11.32,0.01,0.38,0.25,1.42,4.06,14.38,104.36,41.42,101,419.69,0.17,5.04,2.14,5.52,15.03,31.39,178,169.1,218.51,1543.85,-1076812817,-1158973649,-1260992083,-1404668882,-1635615433,-2048833933,-2797515907,-4286631154,-7314733885,-13539593043,11525.01,6202.51,3374.56,1879.84,1094.7,685.85,468.09,358.52,305.82,282.94,179.98,713.47,2762.36,10474.08,37892.96,126908.21,389067.33,1062271.03,2600632.19,5860693.93,4089.86,11404.92,31772.33,87077.94,233936.63,603237.06,1474219.02,3415549.69,7508943.15,15901374.53,100,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.02,0.03,0.04,0.2,0.12,0.09,0.31,-13900.31,-5412.82,-2047.22,-952.32,-378.62,-259.25,-157.46,-88.91,-90.31,-63.87,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.03,-236136.04,-280595.27,-330971.29,-394382.64,-486271.81,-639921.34,-911643.61,-1449965.08,-2557389.76,-4875018.46,4085.39,2427.31,1431.58,852.95,525.87,346.04,246.47,196,172.84,164.73,0.11,0.45,1.75,6.62,23.9,80.03,245.46,669.56,1637.18,3684.79,2.57,7.19,20.03,54.98,147.38,379.62,933.13,2164.25,4757.14,10054.34,64,1,1
